portfolio,website,year,summary
MURAL,http://mural.co/,,Online tools focused on team collaboration around design thinking. 
NativeAd,http://native.ad/,,"Native advertising distribution platform, that integrates and adapts branded content campaigns to the user experience and to the editorial content of the premium publishers. "
Partender,http://partender.com/,,Partender is a business tool that reduces the time it takes owners and managers to do bar inventory from a frustrating 6-24 hours to 15 minutes or less. 
Whill,http://whill.us/,,WHILL is a next-generation personal mobility device company. We focus on smart design and advanced technology to create personal mobility that fits your lifestyle. All Directional 
StackSocial,http://stacksocial.com/,,StackCommerce is an innovative revenue stream for content publishers. Makers of StackSocial. 
Upguard,http://upguard.com/,,"UpGuard (formerly ScriptRock) is a digital resilience company that evaluates ongoing configuration of every server, database and device in your company's infrastructure, to provide "
Fabelio,http://fabelio.com/,,"Fabelio is a furniture e-commerce startup which offers affordable, design-centric items by leveraging unique partnerships with designers. "
PixOwl,http://pixowl.com/,,"Pixowl is a social mobile gaming studio making games with famous family brands: Garfield, Peanuts, Alvin and The Sandbox! "
Chaldal,http://chaldal.com/,,online grocery shopping & delivery 
MyHealthTeams,http://myhealthteams.com/,,MyHealthTeams creates social network for chronic condition communities. 
Brilliant,http://brilliant.org/,,Brilliant is a high-quality free online mathematics and science problem solving website for high aptitude students around the world. 
SkimLinks,http://skimlinks.com/,,SkimLinks is a simplified affiliate marketing tool for publishers to convert existing links into affiliate marketing links. 
Shopeando,http://shopeando.mx/,,Shopeando is an online retailer that offers a wide array of unbranded products. 
Pijon,http://pijonbox.com/,,Pijon is a NYC-based technology company that specializes in sending college students monthly care packages filled with awesome products 
Kiwicrate,http://kiwicrate.com/,,Kiwi Crate is a website for kids that provides inspiration and materials necessary for imaginative play and learning. 
Karma,http://yourkarma.com/,,Karma empowers people with seamless internet connectivity. 
Boon + Gable,http://boonandgable.com/,,Boon + Gable is reinventing the way we shop for clothes by sending a stylist to your home with 25 items. 
Pop Up Archive,http://popuparchive.com/,,Media on the web is hard to discover. Pop Up Archive's smart transcription tools are built on unique language models from audio collections across the U.S. 
Novelistik,http://novelistik.com/,,"Novelistik is a platform that empowers people through the necessary tools to publish, read, and engage in a community. "
955 Dreams,http://955dreams.com/,,"Applauze is a smartphone app that publishes details on different types of events such as concerts, theater productions, sports and movies. "
Backlotcars,http://backlotcars.com/,,"Through BacklotCars auto dealers, auto finance  and rental car companies can liquidate inventory direct to their end market, all without the cost of auction. "
OneSpot,http://onespot.com/,,"Brands can distribute, target, and retarget content at scale. We sequence your content to tell brand stories through the digital journey. "
Sverve,http://sverve.com/,,Sverve is an online advertising platform and social media that connects businesses and social media influences for online marketing. 
Shareaholic,http://shareaholic.com/,,"Shareaholic is a content discovery, amplification and engagement platform that helps marketers and publishers promote their content. "
Paidy,http://paidy.com/,,Cardless online payments in Asia 
BetterDoctor,http://betterdoctor.com/,,"At BetterDoctor believe finding the right doctor shouldn’t be as difficult or time-consuming as it is today. In a world where flights, food, and fun are just a click away, we build "
StudyPool,http://studypool.com/,,Studypool a tool that allows students to get tutoring help with all of their academic based questions. 
MixRank,http://mixrank.com/,,MixRank is a Customer Discovery Platform that helps sales teams automate lead prospecting and find new customers. 
Avegant,http://avegant.com/,,Developing the Cutting Edge of Virtual Retinal Displays 
Olist,http://solidarium.net/,,"solidarium connects Brazilian makers with customers around the world. Solidarium is the coolest makers community in Brazil. The company connects brazilian designers, artisans and m "
MyGengo,http://gengo.com/,,"Gengo is a provider of people-powered translation services on a global scale. Gengo is able to translate documents, email, websites, ecommerce, travel and media content in just hou "
SocialTables,http://socialtables.com/,,"Social Tables is a web-based event planning platform for hospitality, meeting and event professionals. "
StartupHouse,http://startuphouse.com/,,We provide space that support early stage entrepreneurs and people working in startups. 
Emprego Ligado,http://empregoligado.com.br/,,Emprego Ligado is a mobile-based recruitment platform focused on the blue-collar job market in Brazil. 
Edfa3ly,http://edfa3ly.co/,,"Edfa3ly.com is a personal shopper offering its customers to shop from any US Store/website, and have their ordered items shipped right to their doorstep in the case of physical mer "
Vango,http://vangoart.co/,,"Vango is the fastest growing marketplace for art. We are focused on art you hang, selling limited edition prints and one-of-a-kind paintings. "
Connected2.me,http://connected2.me/,,Connected2Me is a free-to-use web service that enables users to anonymously chat with others. 
Makeably,http://hatch.co/,,Hatch.co is a curated marketplace of unique & original products made by the best independent designers & professional makers. 
Shopline,http://shoplineapp.com/,,"Shopline is the easiest way for anyone to create a fully functional, self-branded, e-commerce site within minutes. "
Carreira Beauty,http://carreirabeauty.com/,,Carreira Beauty is a one-stop-shop for beauty professionals and salons in Brazil. 
SimplyInsight,http://uplette.com/,,Uplette's self-service creative development and engagement platform allows brands and advertisers to deliver highly personalized post-ad content. 
Linkdex,http://linkdex.com/,,"Linkdex offers a SaaS-based platform unifying search, social, PR and content channels. "
Her,http://weareher.com/,,"HER (formerly Dattch) is a dating application for lesbians, bisexual and bi-curious women, allowing users to connect with each other and their community. "
EnvoyNow,http://envoynow.co/,,EnvoyNow is an on-demand food delivery app capitalizing on the underserved college market. 
Glambot,http://glambot.com/,,Marketplace for Makeup 
GlamSt,http://glamst.com/,,The leading virtual makeup app for brands and retailers 
Animoca Brands,http://animocabrands.com/,,"Animoca Brands develops and publishes great mobile games based on globally loved popular brands like Garfield, Doraemon etc. "
Caplinked,http://caplinked.com/,,"CapLinked offers a cloud-based platform for coordinating on asset sales, financings, mergers and acquisitions with secure workspaces. "
Doz,http://doz.com/,,DOZ is a SaaS-powered marketing management solution connecting clients with a curated marketplace of marketing experts worldwide. 
Indinero,http://indinero.com/,,inDinero creates software to help small businesses track and manage their finances. 
AppZen,http://appzen.com/,,AppZen provides the worlds first ambient solution for expense compliance and audit. 
Dr. Chrono,http://drchrono.com/,,"Develops a medical practice management application that enables a real-time clinical speech-to-text tool, patient eligibility checks, electronic prescribing, and medical billing. "
FullContact,http://fullcontact.com/,,"FullContact provides a suite of cloud-based contact management solutions for businesses, developers, and individuals. "
BugHerd,http://bugherd.com/,,"BugHerd is the fastest and easiest bug tracker on the market. With a simple point and click users can submit feedback on any webpage. All information such as Browser, OS, full sele "
ProSky,http://prosky.co/,,Train on job skills and get recruited by companies through ProSky. 
Goodpeople,http://goodpeople.com/,,GoodPeople is a social network and online marketplace for people and brands of the fashion outdoor industry. 
Playbasis,http://playbasis.com/,,"With the Playbasis platform, companies can build more compelling digital experiences by integrating game mechanics and feedback mechanisms such as points, badges, leaderboards, cha "
Sunshine,http://shareon.tv/,,Mobile app using their P2P file sharing tech transferring large files instantly. Personal cloud. 
Farmeron,http://farmeron.com/,,A cloud-based dairy herd & farm business management software - allowing producers across the world to become the very best. 
BabyList,http://babyli.st/,,"BabyList is an online universal baby registry that enables parents discover, request and buy products for newborns. "
CraftCoffee,http://craftcoffee.com/,,Craft Coffee is the best place to discover coffees you will love. Tell us what you drink today and we'll match you to new favorites. 
Boomerang,http://baydin.com/,,"Boomerang, by Baydin, adds scheduled sending and the easiest, most integrated email reminders to Gmail, helping you reach Inbox Zero. "
Reesio,http://reesio.com/,,Reesio is an online real estate transaction management solution providing up-to-the-minute residential property data. 
Nubity,http://nubity.com/,,A centralized cloud monitoring and management software. 
Lenda,http://lenda.com/,,Lenda is the easiest way to refinance your home loan online. Save time and money with their simple and secure online process. 
LoveWithFood,http://lovewithfood.com/,,Love With Food is a marketing and market research platform for CPG food brands. 
99Gamers,http://99gamers.com/,,99Gamers is the easiest way to buy and sell video games directly with other gamers. All 100% free. 
DataRank,http://ttagg.com/,,DataRank is a leading social analytics company. We monitor online conversation so that our customers can gather valuable comments and insights about their brand. 
HomeLight,http://homelight.com/,,HomeLight ranks realtors based on their past performance to help clients find qualified real estate agents for buying or selling a home. 
Yaxi,http://yaxi.mx/,,Tap to Get a Safe Cab! 
Telepathic,http://telepathic.tv/,,"Hooked, an app from Telepathic, produces short stories in chat conversation format. "
Sambaads,http://sambaads.com/,,Video Distribution Platform 
WiseCommerce,http://wiser.com/,,"Wiser is the coolest team in town. It develop cutting-edge ecommerce solutions. among that, it develops WisePricer an easy-to-use solution that lets you monitor your products prici "
Wuzzuf,http://wuzzuf.net/,,"WUZZUF is an online employee recruitment platform, created by BasharSoft. The solution matches candidates with employment opportunities by leveraging technology and the Internet. "
ChangeCoin,http://changetip.com/,,ChangeTip leverages Bitcoin blockchain technology to operate a social media tipping platform by which users can send money over 35 different social media platforms or content show 
BrightNest,http://brightnest.com/,,BrightNest provides homeowners with tips and tools to shape up their homes. 
Qraved,http://qraved.com/,,"Qraved offers instant table bookings in Jakarta and enables users to discover restaurants through curated lists, reviews, and photographs. "
Brandtrack,http://brandtrack.fm/,,http://Brandtrack.fm is the most high-tech background music platform for commercial spaces. Our powerful algorithm tracks various consumer patterns to create a soundtrack that enha 
Descomplica,http://descomplica.com.br/,,Descomplica is an online education platform for the Brazil market. 
ChinaNetCloud,http://chinanetcloud.com/,,"ChinaNetCloud offers server management and cloud computing services for various companies in China, the U.S., Japan, and Singapore. "
All Trails,http://alltrails.com/,,"AllTrails is a digital network focused on outdoor enthusiasts, providing information and tools for discovering destinations near them. "
WeDidIt,http://wedid.it/,,"A donor prospecting platform that enables nonprofits to more efficiently accept donations, interact with donors, and empower current supporters. "
SoundBetter,http://soundbetter.com/,,Marketplace for music production 
